"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000196535",1287.3299371688,0.367070174799469,0.135094950091115,2.71712728382443,0.00658512775368602,0.0464810479689536
"ENSG00000196569",17178.4260430908,-2.07079623200448,0.295024058178929,-7.01907581634772,2.23340574920622e-12,2.35840033232941e-10
"ENSG00000196588",1018.85771580796,-0.392370847949989,0.138242200572507,-2.83828560544501,0.00453565781830457,0.0348759621651595
"ENSG00000196616",46331.3657273793,-1.19377230811362,0.193705798494704,-6.16281142531856,7.14645949445792e-10,4.42723165681668e-08
"ENSG00000196639",685.359731764166,0.683775432232156,0.131645695290395,5.19405842115708,2.05758525968563e-07,6.86538995534243e-06
"ENSG00000196659",107.497443720001,0.5986885662512,0.178183863168603,3.35994828939534,0.000779570624029708,0.00869125377779971
"ENSG00000196663",1352.55316864925,-0.25856339689784,0.0915789653787109,-2.82339285914173,0.00475183051940434,0.0361789308492952
"ENSG00000196715",1018.60768096566,-0.713579455153211,0.139244488904925,-5.12465132922018,2.9808885307627e-07,9.5025408823713e-06
"ENSG00000196739",439.384701506224,0.975429212018618,0.33332126456373,2.92639358996587,0.00342916793964958,0.0282120788660414
"ENSG00000196743",1505.13490348315,-0.358985815238536,0.126472050970457,-2.83845966349035,0.00453318485317568,0.0348759621651595
"ENSG00000196781",1105.65745711537,-0.891984003656625,0.251849677408753,-3.5417317696577,0.000397509469439007,0.00499169830373239
"ENSG00000196810",300.811857566277,0.456445947246894,0.114077639289415,4.00118682407943,6.3025570706785e-05,0.00104396633831159
"ENSG00000196843",478.52716088197,-0.720556251180842,0.21111530507967,-3.4130933847213,0.000642299285157547,0.00740976549637058
"ENSG00000196850",520.924937788046,-1.1793586747031,0.185678626452559,-6.35161244584298,2.1306957842747e-10,1.46121701663267e-08
"ENSG00000196912",266.327970303258,0.440659982663572,0.115834555388041,3.80421870820309,0.000142252456716361,0.00209489850085069
"ENSG00000196914",5866.26252602567,-0.317484150173229,0.0998687611468346,-3.17901360272648,0.00147777155994918,0.0145007309618033
"ENSG00000196923",3655.04450181789,-0.590853813392212,0.207866344183782,-2.84246983662645,0.00447654668650285,0.034535749343568
"ENSG00000196924",71951.2934370115,-0.582961781861681,0.153054162829049,-3.80885936773121,0.00013960932940701,0.00206251143643028
"ENSG00000196932",68.8289838616752,2.07412910482642,0.295363875708705,7.02228429204379,2.18269833038025e-12,2.31802562686383e-10
"ENSG00000196950",808.748017483607,1.2221951976996,0.234846559474184,5.20422866928971,1.94804016490219e-07,6.51156950804085e-06
"ENSG00000196961",3872.2511836411,-0.243756294642808,0.0797959119931544,-3.05474664746885,0.0022525071435315,0.0203613060615432
"ENSG00000196968",704.61910984297,-0.306321824694248,0.0989738528192304,-3.0949772689331,0.00196827981086517,0.0182264475759488
"ENSG00000196975",4908.8181516426,-1.1932897073569,0.131518959980958,-9.07313825724954,1.15637413978695e-19,3.20764378924485e-17
"ENSG00000197006",1797.57638299781,0.259356252384952,0.0814280781217951,3.18509607947547,0.00144705955986129,0.0142747356263387
"ENSG00000197008",69.527893263272,0.668828532235576,0.207481385292982,3.22355921853486,0.00126608117316941,0.0128159687382099
"ENSG00000197043",14120.9989647215,-0.921728269264563,0.096472125157379,-9.55434813694535,1.24364353352188e-21,4.53198334715767e-19
"ENSG00000197044",190.361431549884,0.368799749408365,0.131603820063297,2.80234836064017,0.0050732059834291,0.0380260762993982
"ENSG00000197045",1852.60237552863,-0.629577906156219,0.118124524969702,-5.32978148540874,9.83310052353727e-08,3.5579382633332e-06
"ENSG00000197046",4.93641997830068,2.69641691434145,0.907779494854757,2.97034349159084,0.00297466935837189,0.0251864373691762
"ENSG00000197062",359.808388396316,0.535089140129499,0.14089874581872,3.79768561473174,0.000146053401780949,0.00214069595591399
"ENSG00000197119",339.210167517502,0.638288967689072,0.192873733595506,3.30936180780163,0.00093508914248027,0.010045451857223
"ENSG00000197121",368.353368514386,0.605747504481011,0.133521705202654,4.53669688805749,5.71421422814216e-06,0.000130625672115648
"ENSG00000197124",41.073660221797,0.758904824166496,0.278128770458087,2.72860956785073,0.00636019572613424,0.0452716344581405
"ENSG00000197210",18.1131072413261,-1.8994414357086,0.637982028103498,-2.97726480063237,0.00290832697550092,0.0247941545136168
"ENSG00000197217",1667.23069560477,-0.589314425449484,0.128819879164172,-4.57471648997935,4.76865288072554e-06,0.000110920417757552
"ENSG00000197265",539.011816417966,-0.298198182434758,0.102546339446592,-2.90793590530908,0.00363822897411565,0.0294625209080346
